LNG Esports vs Ultra Prime
Game 1
Time,31:02
LNG Esports - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
MID,Syndra,2,1,8,10,211,8.4,18141.58,7493.42
ADC,Aphelios,7,1,5,12,244,9.7,21765.77,7213.91
SUPPORT,Annie,0,3,13,4.3,17,0.7,6410.99,7702.42
Funplus Phoenix - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Gragas,0,2,1,0.5,217,8.7,5163.82,20356.6
JUNGLE,Wukong,1,4,3,1,127,5.1,5359.45,25021.4
MID,Akali,1,2,4,2.5,203,8.1,8497.21,18143.1
ADC,Zeri,3,4,1,1,204,8.1,9728.24,14546.2
SUPPORT,Lulu,0,4,4,1,10,0.4,2052.78,9090.08
Game 3
Time,27:32
Funplus Phoenix - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Gwen,2,1,8,10,268,9.7,11769.39,14780
JUNGLE,Maokai,2,0,9,Perfect KDA,122,4.4,7417.5,18435.2
MID,Tristana,3,2,8,5.5,239,8.7,11741.18,11319.3
ADC,Xayah,11,0,8,Perfect KDA,299,10.9,16398.75,8435.79
SUPPORT,Blitzcrank,2,1,14,16,22,0.8,3994.73,9584.52
Edward Gaming - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Akali,0,3,1,0.3,234,8.5,6156.62,15827.6
JUNGLE,Wukong,1,4,2,0.8,149,5.4,4602.39,20353.7
MID,Syndra,3,3,1,1.3,253,9.2,11874.17,13072.2
ADC,Aphelios,0,5,1,0.2,252,9.2,6896.77,8883.51
SUPPORT,Annie,0,5,3,0.6,18,0.7,5103.62,9369.59

Top Esports vs Bilibili Gaming
Game 1
Time,27:27
Top Esports - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Jax,1,3,0,0.3,221,8.1,11725.34,20614.7
